Sample	Station_code	Tid_provetak	Year	Month	Day	Station	Sesong	Region	Latitude	Longitude	KLFA	N-NH4	N-SNOX	N-TOT	P-PO4	P-TOT	SALIN	SI-SIO2	TEMP
VT81.2020-10-01	VT81	01.10.2020 00:00	2020	Oct	1	Alvenes	Høst	Norskehavet Nord II	499008.5	7461959	0.93	15	15	190	6	13	26.95	290	9.806
VT81.2020-10-28	VT81	28.10.2020 00:00	2020	Oct	28	Alvenes	Høst	Norskehavet Nord II	499008.5	7461959	0.76	5	44	140	8	13	28.25	290	7.15
VT81.2020-11-24	VT81	24.11.2020 00:00	2020	Nov	24	Alvenes	Høst	Norskehavet Nord II	499008.5	7461959	0.31	9	65	200	10	17	29.535	310	6.5945
VT81.2020-12-21	VT81	21.12.2020 00:00	2020	Dec	21	Alvenes	Vinter	Norskehavet Nord II	499008.5	7461959	0.31	5	70	180	12	17	31.28	240	6.943
VT82.2020-02-17	VT82	17.02.2020 00:00	2020	Feb	17	Setså	Vinter	Norskehavet Nord II	519314.2999999998	7450501.1000000015	0.21	6	89	150	15	17	31.89	300	4.74
VT82.2020-03-02	VT82	02.03.2020 00:00	2020	Mar	2	Setså	Vår	Norskehavet Nord II	519314.2999999998	7450501.1000000015	0.31	7	89	270	18	19	31.99	330	4.0345
VT82.2020-03-30	VT82	30.03.2020 00:00	2020	Mar	30	Setså	Vår	Norskehavet Nord II	519314.2999999998	7450501.1000000015	2.3	10	3	120	6	18	31.47	240	3.99
VT82.2020-04-28	VT82	28.04.2020 00:00	2020	Apr	28	Setså	Vår	Norskehavet Nord II	519314.2999999998	7450501.1000000015	0.69	8	8	100	5	12	30.48	150	4.415
VT82.2020-05-19	VT82	19.05.2020 00:00	2020	May	19	Setså	Vår	Norskehavet Nord II	519314.2999999998	7450501.1000000015	2	5	2	120	9	12	30.5	160	6.039
VT82.2020-06-16	VT82	16.06.2020 00:00	2020	Jun	16	Setså	Sommer	Norskehavet Nord II	519314.2999999998	7450501.1000000015	1.8	23	3	140	5	16	25.99	220	8.569
VT82.2020-07-15	VT82	15.07.2020 00:00	2020	Jul	15	Setså	Sommer	Norskehavet Nord II	519314.2999999998	7450501.1000000015	0.59	7	4	120	2	10	23.09	190	10.2655
VT82.2020-08-19	VT82	19.08.2020 00:00	2020	Aug	19	Setså	Sommer	Norskehavet Nord II	519314.2999999998	7450501.1000000015	2	6	4	170	2	10	23.74	64	11.687
VT82.2020-10-01	VT82	01.10.2020 00:00	2020	Oct	1	Setså	Høst	Norskehavet Nord II	519314.2999999998	7450501.1000000015	2.6	16	14	230	5	14	25.505	360	9.8675
VT82.2020-10-28	VT82	28.10.2020 00:00	2020	Oct	28	Setså	Høst	Norskehavet Nord II	519314.2999999998	7450501.1000000015	0.63	5	58	160	10	16	29.675	240	8.244
VT82.2020-11-24	VT82	24.11.2020 00:00	2020	Nov	24	Setså	Høst	Norskehavet Nord II	519314.2999999998	7450501.1000000015	0.31	8	68	180	10	18	29.98	290	7.418
VT82.2020-12-21	VT82	21.12.2020 00:00	2020	Dec	21	Setså	Vinter	Norskehavet Nord II	519314.2999999998	7450501.1000000015	0.31	5	74	170	13	19	31.89	220	7.619
VR21.2019-01-15	VR21	15.01.2019 00:00	2019	Jan	15	Bugøynes (Varangerfjorden)	Vinter	Barentshavet	1064219.5	7830545.300000001	0.14	14	90	370	17	24	34.37666	190	4.825
VR21.2019-02-18	VR21	18.02.2019 00:00	2019	Feb	18	Bugøynes (Varangerfjorden)	Vinter	Barentshavet	1064219.5	7830545.300000001	0.14	13	98	320	18	26	34.095	230	2.948
VR21.2019-03-20	VR21	20.03.2019 00:00	2019	Mar	20	Bugøynes (Varangerfjorden)	Vår	Barentshavet	1064219.5	7830545.300000001	0.16	17	103	280	21	29	34.1925	270	2.59575
VR21.2019-04-26	VR21	26.04.2019 00:00	2019	Apr	26	Bugøynes (Varangerfjorden)	Vår	Barentshavet	1064219.5	7830545.300000001	3.5	17	23	300	11	27	34.31	160	3.72
VR21.2019-05-22	VR21	22.05.2019 00:00	2019	May	22	Bugøynes (Varangerfjorden)	Vår	Barentshavet	1064219.5	7830545.300000001	0.75	25	2	290	8	20	33.39	150	4.39
VR21.2019-06-20	VR21	20.06.2019 00:00	2019	Jun	20	Bugøynes (Varangerfjorden)	Sommer	Barentshavet	1064219.5	7830545.300000001	1.7	10	2	310	5	16	32.63	69	6.994
VR21.2019-07-17	VR21	17.07.2019 00:00	2019	Jul	17	Bugøynes (Varangerfjorden)	Sommer	Barentshavet	1064219.5	7830545.300000001	0.97	22	1	210	5	16	32.19	110	9.206
VR21.2019-08-23	VR21	23.08.2019 00:00	2019	Aug	23	Bugøynes (Varangerfjorden)	Sommer	Barentshavet	1064219.5	7830545.300000001	0.56	32	1	180	4	15	33.34	45	9.907
VR21.2019-09-25	VR21	25.09.2019 00:00	2019	Sep	25	Bugøynes (Varangerfjorden)	Høst	Barentshavet	1064219.5	7830545.300000001	0.89	17	9	210	10	18	34.10866	77	7.661
VR21.2019-10-23	VR21	23.10.2019 00:00	2019	Oct	23	Bugøynes (Varangerfjorden)	Høst	Barentshavet	1064219.5	7830545.300000001	0.56	50	35	330	16	21	33.84	120	6.1065
VR21.2019-11-28	VR21	28.11.2019 00:00	2019	Nov	28	Bugøynes (Varangerfjorden)	Høst	Barentshavet	1064219.5	7830545.300000001	0.16	13	78	260	19	22	34.2	150	4.841
VR21.2019-12-17	VR21	17.12.2019 00:00	2019	Dec	17	Bugøynes (Varangerfjorden)	Vinter	Barentshavet	1064219.5	7830545.300000001	0.16	12	90	300	18	26	34.26	190	4.3075
VR24.2019-01-17	VR24	17.01.2019 00:00	2019	Jan	17	Tanafjorden Midtre	Vinter	Barentshavet	987625	7903433.199999999	0.16	8	102	290	17	26	34.18	230	5.322
VR24.2019-02-23	VR24	23.02.2019 00:00	2019	Feb	23	Tanafjorden Midtre	Vinter	Barentshavet	987625	7903433.199999999	0.16	6	125	200	18	24	34.342	240	3.772
VR24.2019-03-23	VR24	23.03.2019 00:00	2019	Mar	23	Tanafjorden Midtre	Vår	Barentshavet	987625	7903433.199999999	0.16	10	118	200	20	27	34.4325	220	3.38387
VR24.2019-04-23	VR24	23.04.2019 00:00	2019	Apr	23	Tanafjorden Midtre	Vår	Barentshavet	987625	7903433.199999999	2.9	5	73	200	17	29	34.4	150	3.573
VR24.2019-05-11	VR24	11.05.2019 00:00	2019	May	11	Tanafjorden Midtre	Vår	Barentshavet	987625	7903433.199999999	0.66	13	14	120	6	18	33.58	76	4.038
VR24.2019-06-16	VR24	16.06.2019 00:00	2019	Jun	16	Tanafjorden Midtre	Sommer	Barentshavet	987625	7903433.199999999	2	5	1	220	5	21	32.596	47	5.6054
VR24.2019-07-10	VR24	10.07.2019 00:00	2019	Jul	10	Tanafjorden Midtre	Sommer	Barentshavet	987625	7903433.199999999	1.1	9	1	95	7	18	33.43	60	7.039
VR24.2019-08-17	VR24	17.08.2019 00:00	2019	Aug	17	Tanafjorden Midtre	Sommer	Barentshavet	987625	7903433.199999999	1	9	1	150	6	16	32.58	58	9.459
VR24.2019-09-21	VR24	21.09.2019 00:00	2019	Sep	21	Tanafjorden Midtre	Høst	Barentshavet	987625	7903433.199999999	1.8	11	31	220	9	18	34.0615	37	8.099
VR24.2019-10-12	VR24	12.10.2019 00:00	2019	Oct	12	Tanafjorden Midtre	Høst	Barentshavet	987625	7903433.199999999	1.6	13	27	130	12	20	33.31	180	6.785
VR24.2019-11-16	VR24	16.11.2019 00:00	2019	Nov	16	Tanafjorden Midtre	Høst	Barentshavet	987625	7903433.199999999	0.16	5	84	170	17	20	34.24	190	5.7745
VR24.2019-12-09	VR24	09.12.2019 00:00	2019	Dec	9	Tanafjorden Midtre	Vinter	Barentshavet	987625	7903433.199999999	0.16	7	93	220	16	24	34.19	220	5.013
VR31.2019-01-15	VR31	15.01.2019 00:00	2019	Jan	15	Tilremfjorden	Vinter	Norskehavet Sør II	372600.7000000002	7278221.699999999	0.14	20	95	270	17	25	32.374	210	5.1165
VR31.2019-03-04	VR31	04.03.2019 00:00	2019	Mar	4	Tilremfjorden	Vår	Norskehavet Sør II	372600.7000000002	7278221.699999999	0.16	7	121	210	19	26	33.12833	260	5.42567
VR31.2019-03-19	VR31	19.03.2019 00:00	2019	Mar	19	Tilremfjorden	Vår	Norskehavet Sør II	372600.7000000002	7278221.699999999	0.59	5	105	220	19	26	33.9175	260	5.6405
VR31.2019-04-02	VR31	02.04.2019 00:00	2019	Apr	2	Tilremfjorden	Vår	Norskehavet Sør II	372600.7000000002	7278221.699999999	1.3	10	86	180	16	27	33.768	180	5.044
VR31.2019-06-06	VR31	06.06.2019 00:00	2019	Jun	6	Tilremfjorden	Sommer	Norskehavet Sør II	372600.7000000002	7278221.699999999	1.7	5	1	130	4	16	33.264	44	8.64
VR31.2019-06-19	VR31	19.06.2019 00:00	2019	Jun	19	Tilremfjorden	Sommer	Norskehavet Sør II	372600.7000000002	7278221.699999999	0.7	8	1	180	4	15	33.15	30	9.6455
VR31.2019-07-17	VR31	17.07.2019 00:00	2019	Jul	17	Tilremfjorden	Sommer	Norskehavet Sør II	372600.7000000002	7278221.699999999	0.7	10	1	170	4	16	33.091	64	11.649
VR31.2019-08-22	VR31	22.08.2019 00:00	2019	Aug	22	Tilremfjorden	Sommer	Norskehavet Sør II	372600.7000000002	7278221.699999999	1.1	7	1	150	5	16	33.34	76	12.774
VR31.2019-09-23	VR31	23.09.2019 00:00	2019	Sep	23	Tilremfjorden	Høst	Norskehavet Sør II	372600.7000000002	7278221.699999999	0.67	21	3	150	6	15	32.785	71	12.475
VR31.2019-10-07	VR31	07.10.2019 00:00	2019	Oct	7	Tilremfjorden	Høst	Norskehavet Sør II	372600.7000000002	7278221.699999999	1	16	4	200	6	15	32.5805	81	11.572
VR31.2019-11-13	VR31	13.11.2019 00:00	2019	Nov	13	Tilremfjorden	Høst	Norskehavet Sør II	372600.7000000002	7278221.699999999	0.21	8	57	160	12	16	32.9235	140	7.6245
VR31.2019-12-17	VR31	17.12.2019 00:00	2019	Dec	17	Tilremfjorden	Vinter	Norskehavet Sør II	372600.7000000002	7278221.699999999	0.16	6	75	150	14	18	33.109	160	6.045
VR4.2019-01-23	VR4	23.01.2019 00:00	2019	Jan	23	Ytre Kvænangen	Vinter	Norskehavet Nord III	730173.2000000002	7790303.8999999985	0.16	8	100	230	17	25	33.585	270	5.0735
VR4.2019-02-17	VR4	17.02.2019 00:00	2019	Feb	17	Ytre Kvænangen	Vinter	Norskehavet Nord III	730173.2000000002	7790303.8999999985	0.16	13	101	210	18	23	NA	300	NA
VR4.2019-03-17	VR4	17.03.2019 00:00	2019	Mar	17	Ytre Kvænangen	Vår	Norskehavet Nord III	730173.2000000002	7790303.8999999985	0.16	5	100	200	18	25	33.81	340	3.123
VR4.2019-04-11	VR4	11.04.2019 00:00	2019	Apr	11	Ytre Kvænangen	Vår	Norskehavet Nord III	730173.2000000002	7790303.8999999985	0.45	8	101	200	19	27	NA	330	NA
VR4.2019-05-14	VR4	14.05.2019 00:00	2019	May	14	Ytre Kvænangen	Vår	Norskehavet Nord III	730173.2000000002	7790303.8999999985	1.1	10	1	160	6	16	33.4	190	4.57
VR4.2019-06-24	VR4	24.06.2019 00:00	2019	Jun	24	Ytre Kvænangen	Sommer	Norskehavet Nord III	730173.2000000002	7790303.8999999985	1	6	10	160	3	15	33.66	110	7.638
VR4.2019-07-08	VR4	08.07.2019 00:00	2019	Jul	8	Ytre Kvænangen	Sommer	Norskehavet Nord III	730173.2000000002	7790303.8999999985	0.41	19	10	150	9	18	33.17	150	8.142
VR4.2019-08-19	VR4	19.08.2019 00:00	2019	Aug	19	Ytre Kvænangen	Sommer	Norskehavet Nord III	730173.2000000002	7790303.8999999985	3.8	7	1	180	6	20	34.11	25	9.158
VR4.2019-09-12	VR4	12.09.2019 00:00	2019	Sep	12	Ytre Kvænangen	Høst	Norskehavet Nord III	730173.2000000002	7790303.8999999985	2.6	8	6	150	7	16	34.18	63	10.253
VR4.2019-10-15	VR4	15.10.2019 00:00	2019	Oct	15	Ytre Kvænangen	Høst	Norskehavet Nord III	730173.2000000002	7790303.8999999985	0.61	19	29	150	14	20	33.81	190	8.091
VR4.2019-11-11	VR4	11.11.2019 00:00	2019	Nov	11	Ytre Kvænangen	Høst	Norskehavet Nord III	730173.2000000002	7790303.8999999985	0.16	5	73	180	17	18	34.09	220	7.1395
VR4.2019-12-09	VR4	09.12.2019 00:00	2019	Dec	9	Ytre Kvænangen	Vinter	Norskehavet Nord III	730173.2000000002	7790303.8999999985	0.16	7	80	160	17	21	NA	170	NA
VR51.2019-01-28	VR51	28.01.2019 00:00	2019	Jan	28	Korsen	Vinter	Norskehavet Sør I	83360.70000000019	6910441.699999999	0.16	29	87	290	18	25	33.83	200	7.71
VR51.2019-02-22	VR51	22.02.2019 00:00	2019	Feb	22	Korsen	Vinter	Norskehavet Sør I	83360.70000000019	6910441.699999999	0.56	13	106	190	14	22	32.71	280	5.965
VR51.2019-03-25	VR51	25.03.2019 00:00	2019	Mar	25	Korsen	Vår	Norskehavet Sør I	83360.70000000019	6910441.699999999	8.8	17	25	180	8	25	33.56	59	6.903
VR51.2019-04-24	VR51	24.04.2019 00:00	2019	Apr	24	Korsen	Vår	Norskehavet Sør I	83360.70000000019	6910441.699999999	1.4	15	1	190	3	16	32.53	42	8.632
VR51.2019-05-21	VR51	21.05.2019 00:00	2019	May	21	Korsen	Vår	Norskehavet Sør I	83360.70000000019	6910441.699999999	0.33	33	1	170	2	12	30.42	48	10.168
VR51.2019-06-24	VR51	24.06.2019 00:00	2019	Jun	24	Korsen	Sommer	Norskehavet Sør I	83360.70000000019	6910441.699999999	0.45	12	1	220	3	11	24.5	83	12.583
VR51.2019-07-11	VR51	11.07.2019 00:00	2019	Jul	11	Korsen	Sommer	Norskehavet Sør I	83360.70000000019	6910441.699999999	0.73	12	1	170	4	12	24.975	82	12.3235
VR51.2019-08-27	VR51	27.08.2019 00:00	2019	Aug	27	Korsen	Sommer	Norskehavet Sør I	83360.70000000019	6910441.699999999	0.52	33	1	220	4	11	29.255	100	15.128
VR51.2019-09-25	VR51	25.09.2019 00:00	2019	Sep	25	Korsen	Høst	Norskehavet Sør I	83360.70000000019	6910441.699999999	1.1	54	5	230	5	11	28.575	210	13.9655
VR51.2019-10-28	VR51	28.10.2019 00:00	2019	Oct	28	Korsen	Høst	Norskehavet Sør I	83360.70000000019	6910441.699999999	1.4	15	13	150	6	11	31.56	91	12.179
VR51.2019-11-19	VR51	19.11.2019 00:00	2019	Nov	19	Korsen	Høst	Norskehavet Sør I	83360.70000000019	6910441.699999999	2.2	13	33	140	8	12	32.635	68	8.852
VR51.2019-12-16	VR51	16.12.2019 00:00	2019	Dec	16	Korsen	Vinter	Norskehavet Sør I	83360.70000000019	6910441.699999999	0.16	12	56	180	9	15	33.20465	130	10.016
VR52.2019-01-29	VR52	29.01.2019 00:00	2019	Jan	29	Broemsneset	Vinter	Norskehavet Sør II	322629	7154545.6000000015	0.16	9	91	190	16	24	32.76	480	7.512
VR52.2019-02-22	VR52	22.02.2019 00:00	2019	Feb	22	Broemsneset	Vinter	Norskehavet Sør II	322629	7154545.6000000015	0.16	5	99	200	16	21	33.655	410	6.32
VR52.2019-03-26	VR52	26.03.2019 00:00	2019	Mar	26	Broemsneset	Vår	Norskehavet Sør II	322629	7154545.6000000015	1.3	5	82	190	13	20	28.47	550	4.52867
VR52.2019-04-26	VR52	26.04.2019 00:00	2019	Apr	26	Broemsneset	Vår	Norskehavet Sør II	322629	7154545.6000000015	1.9	7	11	120	4	13	32.82	170	6.764
VR52.2019-05-24	VR52	24.05.2019 00:00	2019	May	24	Broemsneset	Vår	Norskehavet Sør II	322629	7154545.6000000015	1.4	18	3	150	6	13	27.295	180	7.861
VR52.2019-06-26	VR52	26.06.2019 00:00	2019	Jun	26	Broemsneset	Sommer	Norskehavet Sør II	322629	7154545.6000000015	1	32	2	180	8	12	31.255	220	11.5845
VR52.2019-07-26	VR52	26.07.2019 00:00	2019	Jul	26	Broemsneset	Sommer	Norskehavet Sør II	322629	7154545.6000000015	0.77	7	1	150	3	11	30.9	94	14.1
VR52.2019-08-24	VR52	24.08.2019 00:00	2019	Aug	24	Broemsneset	Sommer	Norskehavet Sør II	322629	7154545.6000000015	0.64	7	1	190	3	11	31.75	150	13.504
VR52.2019-09-26	VR52	26.09.2019 00:00	2019	Sep	26	Broemsneset	Høst	Norskehavet Sør II	322629	7154545.6000000015	0.16	20	9	110	6	13	31.075	290	13.3255
VR52.2019-10-26	VR52	26.10.2019 00:00	2019	Oct	26	Broemsneset	Høst	Norskehavet Sør II	322629	7154545.6000000015	0.49	5	34	150	7	12	30.07	410	10.286
VR52.2019-11-26	VR52	26.11.2019 00:00	2019	Nov	26	Broemsneset	Høst	Norskehavet Sør II	322629	7154545.6000000015	0.16	5	51	170	11	14	33.4951	180	9.976
VR52.2019-12-23	VR52	23.12.2019 00:00	2019	Dec	23	Broemsneset	Vinter	Norskehavet Sør II	322629	7154545.6000000015	0.16	5	67	140	12	17	33.51333	260	8.53746
VR54.2019-02-10	VR54	10.02.2019 00:00	2019	Feb	10	Straumsfjorden (Bakkland)	Vinter	Norskehavet Nord I	630395.4000000004	7713898.199999999	0.16	14	104	220	18	25	33.7	340	3.767
VR54.2019-03-02	VR54	02.03.2019 00:00	2019	Mar	2	Straumsfjorden (Bakkland)	Vår	Norskehavet Nord I	630395.4000000004	7713898.199999999	0.16	25	116	220	16	23	32.5	540	2.654
VR54.2019-04-06	VR54	06.04.2019 00:00	2019	Apr	6	Straumsfjorden (Bakkland)	Vår	Norskehavet Nord I	630395.4000000004	7713898.199999999	0.86	10	7	110	3	11	31.12	210	2.643
VR54.2019-04-26	VR54	26.04.2019 00:00	2019	Apr	26	Straumsfjorden (Bakkland)	Vår	Norskehavet Nord I	630395.4000000004	7713898.199999999	0.98	6	27	140	10	17	NA	290	NA
VR54.2019-05-21	VR54	21.05.2019 00:00	2019	May	21	Straumsfjorden (Bakkland)	Vår	Norskehavet Nord I	630395.4000000004	7713898.199999999	1.7	8	1	110	3	14	32.73	280	5.701
VR54.2019-06-23	VR54	23.06.2019 00:00	2019	Jun	23	Straumsfjorden (Bakkland)	Sommer	Norskehavet Nord I	630395.4000000004	7713898.199999999	4.6	5	3	140	4	18	30.8	66	7.638
VR54.2019-07-21	VR54	21.07.2019 00:00	2019	Jul	21	Straumsfjorden (Bakkland)	Sommer	Norskehavet Nord I	630395.4000000004	7713898.199999999	1.2	5	17	160	7	15	31.72	180	9.28
VR54.2019-08-31	VR54	31.08.2019 00:00	2019	Aug	31	Straumsfjorden (Bakkland)	Sommer	Norskehavet Nord I	630395.4000000004	7713898.199999999	1.8	15	24	200	9	17	33	110	10.55
VR54.2019-09-26	VR54	26.09.2019 00:00	2019	Sep	26	Straumsfjorden (Bakkland)	Høst	Norskehavet Nord I	630395.4000000004	7713898.199999999	1.3	49	8	350	7	16	32.36	150	9.037
VR54.2019-10-30	VR54	30.10.2019 00:00	2019	Oct	30	Straumsfjorden (Bakkland)	Høst	Norskehavet Nord I	630395.4000000004	7713898.199999999	0.32	5	49	180	13	17	33.45	210	7.387
VR54.2019-11-28	VR54	28.11.2019 00:00	2019	Nov	28	Straumsfjorden (Bakkland)	Høst	Norskehavet Nord I	630395.4000000004	7713898.199999999	0.16	5	70	180	16	20	33.40208	200	6.101
VR54.2019-12-26	VR54	26.12.2019 00:00	2019	Dec	26	Straumsfjorden (Bakkland)	Vinter	Norskehavet Nord I	630395.4000000004	7713898.199999999	NA	NA	NA	150	NA	NA	NA	NA	NA
VR55.2019-01-23	VR55	23.01.2019 00:00	2019	Jan	23	Spilderbukta	Vinter	Norskehavet Nord III	755282.2999999998	7776145	0.16	8	104	190	18	25	33.54	320	5.175
VR55.2019-02-17	VR55	17.02.2019 00:00	2019	Feb	17	Spilderbukta	Vinter	Norskehavet Nord III	755282.2999999998	7776145	0.16	15	131	200	19	25	NA	360	NA
VR55.2019-03-17	VR55	17.03.2019 00:00	2019	Mar	17	Spilderbukta	Vår	Norskehavet Nord III	755282.2999999998	7776145	0.16	8	102	360	19	27	33.76	370	3.251
VR55.2019-04-11	VR55	11.04.2019 00:00	2019	Apr	11	Spilderbukta	Vår	Norskehavet Nord III	755282.2999999998	7776145	1.2	10	88	200	18	26	NA	340	NA
VR55.2019-05-14	VR55	14.05.2019 00:00	2019	May	14	Spilderbukta	Vår	Norskehavet Nord III	755282.2999999998	7776145	1.4	17	6	160	7	17	33.365	240	4.2105
VR55.2019-06-24	VR55	24.06.2019 00:00	2019	Jun	24	Spilderbukta	Sommer	Norskehavet Nord III	755282.2999999998	7776145	0.61	5	4	130	2	13	31.2675	26	8.02225
VR55.2019-07-08	VR55	08.07.2019 00:00	2019	Jul	8	Spilderbukta	Sommer	Norskehavet Nord III	755282.2999999998	7776145	0.58	7	2	140	4	14	30.65	120	8.563
VR55.2019-08-19	VR55	19.08.2019 00:00	2019	Aug	19	Spilderbukta	Sommer	Norskehavet Nord III	755282.2999999998	7776145	1.2	7	9	110	6	16	33.44	50	8.8595
VR55.2019-09-12	VR55	12.09.2019 00:00	2019	Sep	12	Spilderbukta	Høst	Norskehavet Nord III	755282.2999999998	7776145	1.4	6	6	180	5	15	33.005	84	9.399
VR55.2019-10-15	VR55	15.10.2019 00:00	2019	Oct	15	Spilderbukta	Høst	Norskehavet Nord III	755282.2999999998	7776145	0.7	22	23	150	12	18	33.145	150	7.7725
VR55.2019-11-11	VR55	11.11.2019 00:00	2019	Nov	11	Spilderbukta	Høst	Norskehavet Nord III	755282.2999999998	7776145	0.18	5	72	200	15	18	33.81	180	6.499
VR55.2019-12-09	VR55	09.12.2019 00:00	2019	Dec	9	Spilderbukta	Vinter	Norskehavet Nord III	755282.2999999998	7776145	0.16	8	93	180	19	22	NA	210	NA
VR56.2019-01-23	VR56	23.01.2019 00:00	2019	Jan	23	Reisafjorden ytre	Vinter	Norskehavet Nord III	733267.7999999998	7767141.1000000015	0.16	12	132	230	18	26	33.45	340	4.532
VR56.2019-02-17	VR56	17.02.2019 00:00	2019	Feb	17	Reisafjorden ytre	Vinter	Norskehavet Nord III	733267.7999999998	7767141.1000000015	0.16	7	124	210	17	27	NA	230	NA
VR56.2019-03-17	VR56	17.03.2019 00:00	2019	Mar	17	Reisafjorden ytre	Vår	Norskehavet Nord III	733267.7999999998	7767141.1000000015	0.24	6	119	200	19	26	33.69	390	2.4685
VR56.2019-04-11	VR56	11.04.2019 00:00	2019	Apr	11	Reisafjorden ytre	Vår	Norskehavet Nord III	733267.7999999998	7767141.1000000015	1	8	1	110	5	18	NA	120	NA
VR56.2019-05-14	VR56	14.05.2019 00:00	2019	May	14	Reisafjorden ytre	Vår	Norskehavet Nord III	733267.7999999998	7767141.1000000015	1.3	5	1	160	5	15	32.74	220	4.887
VR56.2019-06-24	VR56	24.06.2019 00:00	2019	Jun	24	Reisafjorden ytre	Sommer	Norskehavet Nord III	733267.7999999998	7767141.1000000015	0.85	6	4	150	3	13	31.68	190	8.572
VR56.2019-07-08	VR56	08.07.2019 00:00	2019	Jul	8	Reisafjorden ytre	Sommer	Norskehavet Nord III	733267.7999999998	7767141.1000000015	0.63	5	1	150	4	13	32.31	150	8.0925
VR56.2019-08-19	VR56	19.08.2019 00:00	2019	Aug	19	Reisafjorden ytre	Sommer	Norskehavet Nord III	733267.7999999998	7767141.1000000015	0.96	5	1	110	3	14	32.86	99	8.887
VR56.2019-09-12	VR56	12.09.2019 00:00	2019	Sep	12	Reisafjorden ytre	Høst	Norskehavet Nord III	733267.7999999998	7767141.1000000015	1.4	5	1	170	5	14	32.33	100	9.726
VR56.2019-10-15	VR56	15.10.2019 00:00	2019	Oct	15	Reisafjorden ytre	Høst	Norskehavet Nord III	733267.7999999998	7767141.1000000015	0.91	16	21	160	11	19	33.1	240	7.813
VR56.2019-11-11	VR56	11.11.2019 00:00	2019	Nov	11	Reisafjorden ytre	Høst	Norskehavet Nord III	733267.7999999998	7767141.1000000015	0.16	5	69	180	15	21	33.815	200	6.1935
VR56.2019-12-09	VR56	09.12.2019 00:00	2019	Dec	9	Reisafjorden ytre	Vinter	Norskehavet Nord III	733267.7999999998	7767141.1000000015	0.16	7	83	170	17	22	NA	230	NA
VR58.2019-01-09	VR58	09.01.2019 00:00	2019	Jan	9	Ullsfjorden	Vinter	Norskehavet Nord III	684058.2999999998	7745678.3999999985	0.16	6	93	220	17	25	33.484	340	5.343
VR58.2019-02-11	VR58	11.02.2019 00:00	2019	Feb	11	Ullsfjorden	Vinter	Norskehavet Nord III	684058.2999999998	7745678.3999999985	0.16	8	114	210	19	24	34.04	330	4.138
VR58.2019-03-17	VR58	17.03.2019 00:00	2019	Mar	17	Ullsfjorden	Vår	Norskehavet Nord III	684058.2999999998	7745678.3999999985	0.27	20	102	200	19	27	33.82	400	2.917
VR58.2019-04-05	VR58	05.04.2019 00:00	2019	Apr	5	Ullsfjorden	Vår	Norskehavet Nord III	684058.2999999998	7745678.3999999985	0.96	10	87	180	16	24	33.62	340	3.1825
VR58.2019-05-07	VR58	07.05.2019 00:00	2019	May	7	Ullsfjorden	Vår	Norskehavet Nord III	684058.2999999998	7745678.3999999985	0.42	10	1	150	4	16	32.815	180	4.8705
VR58.2019-06-04	VR58	04.06.2019 00:00	2019	Jun	4	Ullsfjorden	Sommer	Norskehavet Nord III	684058.2999999998	7745678.3999999985	2.6	6	1	130	3	18	32.33	25	6.104
VR58.2019-06-17	VR58	17.06.2019 00:00	2019	Jun	17	Ullsfjorden	Sommer	Norskehavet Nord III	684058.2999999998	7745678.3999999985	0.51	5	2	130	3	14	NA	25	NA
VR58.2019-07-20	VR58	20.07.2019 00:00	2019	Jul	20	Ullsfjorden	Sommer	Norskehavet Nord III	684058.2999999998	7745678.3999999985	1.1	5	1	170	4	14	33.17	50	8.142
VR58.2019-09-01	VR58	01.09.2019 00:00	2019	Sep	1	Ullsfjorden	Høst	Norskehavet Nord III	684058.2999999998	7745678.3999999985	0.95	5	3	150	7	15	33.4	66	8.642
VR58.2019-10-05	VR58	05.10.2019 00:00	2019	Oct	5	Ullsfjorden	Høst	Norskehavet Nord III	684058.2999999998	7745678.3999999985	1.2	19	30	190	14	19	33.39	170	8.018
VR58.2019-11-09	VR58	09.11.2019 00:00	2019	Nov	9	Ullsfjorden	Høst	Norskehavet Nord III	684058.2999999998	7745678.3999999985	0.18	5	75	180	16	19	33.979	220	7.049
VR58.2019-11-27	VR58	27.11.2019 00:00	2019	Nov	27	Ullsfjorden	Høst	Norskehavet Nord III	684058.2999999998	7745678.3999999985	0.16	6	67	160	15	19	NA	170	NA
VR59.2019-01-09	VR59	09.01.2019 00:00	2019	Jan	9	Sørfjorden ytre	Vinter	Norskehavet Nord III	683650.4000000004	7725132.6000000015	0.16	6	90	210	17	25	33.347	390	5.238
VR59.2019-02-11	VR59	11.02.2019 00:00	2019	Feb	11	Sørfjorden ytre	Vinter	Norskehavet Nord III	683650.4000000004	7725132.6000000015	0.16	8	126	220	20	26	33.7	430	2.996
VR59.2019-03-17	VR59	17.03.2019 00:00	2019	Mar	17	Sørfjorden ytre	Vår	Norskehavet Nord III	683650.4000000004	7725132.6000000015	0.26	22	97	200	20	28	33.43	450	2.297
VR59.2019-04-05	VR59	05.04.2019 00:00	2019	Apr	5	Sørfjorden ytre	Vår	Norskehavet Nord III	683650.4000000004	7725132.6000000015	0.4	12	100	180	19	25	33.56	390	3.132
VR59.2019-05-07	VR59	07.05.2019 00:00	2019	May	7	Sørfjorden ytre	Vår	Norskehavet Nord III	683650.4000000004	7725132.6000000015	1.6	7	23	190	10	20	32.665	300	4.4045
